threshold,tpr,fpr
1.324211,0.25383304940374785,0.0036054596961112542
1.321456,0.2555366269165247,0.0036054596961112542
1.321108,0.2572402044293015,0.0036054596961112542
1.320187,0.25894378194207834,0.0036054596961112542
1.318557,0.25894378194207834,0.0038629925315477724
1.318324,0.2606473594548552,0.0038629925315477724
1.316949,0.262350936967632,0.0038629925315477724
1.316693,0.26405451448040884,0.0038629925315477724
1.313371,0.26405451448040884,0.004120525366984291
1.311579,0.26405451448040884,0.004378058202420809
1.311368,0.2657580919931857,0.004378058202420809
1.308485,0.2674616695059625,0.004378058202420809
1.308348,0.2674616695059625,0.004635591037857327
1.308183,0.2674616695059625,0.004893123873293845
1.303633,0.2674616695059625,0.0051506567087303634
1.303086,0.2674616695059625,0.005408189544166882
1.302876,0.26916524701873934,0.005408189544166882
1.300172,0.2708688245315162,0.005408189544166882
1.300065,0.272572402044293,0.005408189544166882
1.299353,0.27427597955706984,0.005408189544166882
1.29717,0.27597955706984667,0.005408189544166882
1.297037,0.2776831345826235,0.005408189544166882
1.295333,0.2776831345826235,0.0056657223796034
1.294683,0.27938671209540034,0.0056657223796034
1.293163,0.27938671209540034,0.005923255215039918
1.29291,0.28109028960817717,0.005923255215039918
1.292212,0.28109028960817717,0.006180788050476436
1.291332,0.282793867120954,0.006180788050476436
1.290345,0.28449744463373083,0.006180788050476436
1.289189,0.28620102214650767,0.006180788050476436
1.286941,0.28620102214650767,0.006438320885912954
1.286859,0.2879045996592845,0.006438320885912954
1.2812,0.28960817717206133,0.006438320885912954
1.280639,0.28960817717206133,0.006695853721349472
1.280434,0.29131175468483816,0.006695853721349472
1.279291,0.293015332197615,0.006695853721349472
1.279041,0.29471890971039183,0.006695853721349472
1.27553,0.29642248722316866,0.006695853721349472
1.275313,0.2981260647359455,0.006695853721349472
1.274178,0.2981260647359455,0.00695338655678599
1.273465,0.29982964224872233,0.00695338655678599
1.272316,0.30153321976149916,0.00695338655678599
1.268616,0.303236797274276,0.00695338655678599
1.268092,0.3049403747870528,0.00695338655678599
1.267216,0.30664395229982966,0.00695338655678599
1.266064,0.30664395229982966,0.0072109193922225085
1.265015,0.3083475298126065,0.0072109193922225085
1.264813,0.3083475298126065,0.007468452227659027
1.264796,0.3100511073253833,0.007468452227659027
1.264721,0.31175468483816016,0.007468452227659027
1.264247,0.313458262350937,0.007468452227659027
1.263287,0.3151618398637138,0.007468452227659027
1.259639,0.31686541737649065,0.007468452227659027
1.259548,0.3185689948892675,0.007468452227659027
1.258603,0.3202725724020443,0.007468452227659027
1.257971,0.3219761499148211,0.007468452227659027
1.255627,0.3219761499148211,0.007725985063095545
1.25469,0.32367972742759793,0.007725985063095545
1.254519,0.32538330494037476,0.007725985063095545
1.252848,0.3270868824531516,0.007725985063095545
1.252563,0.3287904599659284,0.007725985063095545
1.252413,0.33049403747870526,0.007725985063095545
1.251618,0.3321976149914821,0.007725985063095545
1.2512,0.3339011925042589,0.007725985063095545
1.250528,0.33560477001703576,0.007725985063095545
1.250146,0.3373083475298126,0.007725985063095545
1.249742,0.3390119250425894,0.007725985063095545
1.248342,0.3390119250425894,0.007983517898532062
1.248203,0.34071550255536626,0.007983517898532062
1.246521,0.34071550255536626,0.008241050733968582
1.246111,0.34071550255536626,0.0084985835694051
1.24605,0.34071550255536626,0.008756116404841618
1.244512,0.3424190800681431,0.008756116404841618
1.243044,0.3441226575809199,0.008756116404841618
1.242499,0.3441226575809199,0.009013649240278136
1.242125,0.34582623509369675,0.009013649240278136
1.241328,0.3475298126064736,0.009013649240278136
1.240337,0.3475298126064736,0.009271182075714654
1.240316,0.3492333901192504,0.009271182075714654
1.240278,0.35093696763202725,0.009271182075714654
1.23947,0.3526405451448041,0.009271182075714654
1.238726,0.3526405451448041,0.009528714911151173
1.237668,0.3526405451448041,0.00978624774658769
1.237542,0.3526405451448041,0.010043780582024209
1.237457,0.3543441226575809,0.010043780582024209
1.237125,0.35604770017035775,0.010043780582024209
1.237064,0.35604770017035775,0.010301313417460727
1.236309,0.3577512776831346,0.010301313417460727
1.234988,0.3594548551959114,0.010301313417460727
1.234102,0.36115843270868825,0.010301313417460727
1.233399,0.36115843270868825,0.010558846252897245
1.233004,0.3628620102214651,0.010558846252897245
1.232351,0.3645655877342419,0.010558846252897245
1.230996,0.36626916524701875,0.010558846252897245
1.228669,0.3679727427597956,0.010558846252897245
1.227774,0.3696763202725724,0.010558846252897245
1.227586,0.3696763202725724,0.010816379088333763
1.227563,0.37137989778534924,0.010816379088333763
1.227455,0.3730834752981261,0.010816379088333763
1.226696,0.3730834752981261,0.011073911923770281
1.226645,0.3747870528109029,0.011073911923770281
1.225498,0.3747870528109029,0.0113314447592068
1.225084,0.37649063032367974,0.0113314447592068
1.22452,0.3781942078364566,0.0113314447592068
1.223242,0.3798977853492334,0.0113314447592068
1.22298,0.3798977853492334,0.011588977594643318
1.222484,0.38160136286201024,0.011588977594643318
1.222439,0.38160136286201024,0.011846510430079836
1.222284,0.38160136286201024,0.012104043265516354
1.221627,0.3833049403747871,0.012104043265516354
1.221459,0.3833049403747871,0.012361576100952872
1.221333,0.3850085178875639,0.012361576100952872
1.219288,0.38671209540034074,0.012361576100952872
1.218481,0.38841567291311757,0.012361576100952872
1.218319,0.3901192504258944,0.012361576100952872
1.216141,0.39182282793867124,0.012361576100952872
1.214652,0.39182282793867124,0.01261910893638939
1.21204,0.393526405451448,0.01261910893638939
1.211267,0.39522998296422485,0.01261910893638939
1.210273,0.39522998296422485,0.012876641771825908
1.20977,0.3969335604770017,0.012876641771825908
1.209185,0.3986371379897785,0.012876641771825908
1.208501,0.40034071550255534,0.012876641771825908
1.207882,0.4020442930153322,0.012876641771825908
1.207757,0.403747870528109,0.012876641771825908
1.207742,0.403747870528109,0.013134174607262426
1.205913,0.403747870528109,0.013391707442698944
1.205612,0.40545144804088584,0.013391707442698944
1.205233,0.4071550255536627,0.013391707442698944
1.204755,0.4088586030664395,0.013391707442698944
1.204435,0.41056218057921634,0.013391707442698944
1.204116,0.4122657580919932,0.013391707442698944
1.202906,0.41396933560477,0.013391707442698944
1.202237,0.41567291311754684,0.013391707442698944
1.20193,0.41737649063032367,0.013391707442698944
1.201767,0.4190800681431005,0.013391707442698944
1.201355,0.4190800681431005,0.013649240278135463
1.201065,0.42078364565587734,0.013649240278135463
1.200069,0.42248722316865417,0.013649240278135463
1.198217,0.424190800681431,0.013649240278135463
1.197936,0.42589437819420783,0.013649240278135463
1.19753,0.42759795570698467,0.013649240278135463
1.196961,0.4293015332197615,0.013649240278135463
1.194263,0.43100511073253833,0.013649240278135463
1.19426,0.43100511073253833,0.01390677311357198
1.193945,0.43100511073253833,0.014164305949008499
1.193186,0.43270868824531517,0.014164305949008499
1.192878,0.43270868824531517,0.014421838784445017
1.192183,0.43270868824531517,0.014679371619881535
1.192059,0.43270868824531517,0.014936904455318053
1.191891,0.434412265758092,0.014936904455318053
1.190771,0.43611584327086883,0.014936904455318053
1.190492,0.43611584327086883,0.015194437290754571
1.190375,0.43781942078364566,0.015194437290754571
1.189804,0.4395229982964225,0.015194437290754571
1.189781,0.44122657580919933,0.015194437290754571
1.188591,0.44293015332197616,0.015194437290754571
1.1884,0.44293015332197616,0.01545197012619109
1.18828,0.444633730834753,0.01545197012619109
1.187786,0.444633730834753,0.015709502961627608
1.187776,0.4463373083475298,0.015709502961627608
1.187631,0.4463373083475298,0.015967035797064124
1.187456,0.44804088586030666,0.015967035797064124
1.186879,0.4497444633730835,0.015967035797064124
1.186807,0.4514480408858603,0.015967035797064124
1.185634,0.45315161839863716,0.015967035797064124
1.184685,0.454855195911414,0.015967035797064124
1.184618,0.4565587734241908,0.015967035797064124
1.184571,0.45826235093696766,0.015967035797064124
1.181636,0.45826235093696766,0.016224568632500644
1.180822,0.45826235093696766,0.016482101467937164
1.180167,0.45826235093696766,0.01673963430337368
1.178308,0.45826235093696766,0.0169971671388102
1.177991,0.4599659284497445,0.0169971671388102
1.177255,0.4616695059625213,0.0169971671388102
1.177157,0.4616695059625213,0.017254699974246716
1.176901,0.4616695059625213,0.017512232809683236
1.176672,0.46337308347529815,0.017512232809683236
1.176079,0.46337308347529815,0.017769765645119753
1.175837,0.46507666098807493,0.017769765645119753
1.175506,0.46678023850085176,0.017769765645119753
1.174367,0.46678023850085176,0.018027298480556272
1.173331,0.46678023850085176,0.01828483131599279
1.172458,0.4684838160136286,0.01828483131599279
1.172158,0.4684838160136286,0.01854236415142931
1.17122,0.47018739352640543,0.01854236415142931
1.170895,0.47189097103918226,0.01854236415142931
1.170848,0.4735945485519591,0.01854236415142931
1.170606,0.4752981260647359,0.01854236415142931
1.170511,0.4752981260647359,0.018799896986865825
1.170029,0.4752981260647359,0.019057429822302345
1.16934,0.4752981260647359,0.01931496265773886
1.168676,0.47700170357751276,0.01931496265773886
1.168245,0.4787052810902896,0.01931496265773886
1.167271,0.4804088586030664,0.01931496265773886
1.16711,0.48211243611584326,0.01931496265773886
1.1653,0.48211243611584326,0.01957249549317538
1.16262,0.4838160136286201,0.01957249549317538
1.162274,0.4855195911413969,0.01957249549317538
1.162162,0.48722316865417375,0.01957249549317538
1.16166,0.48722316865417375,0.019830028328611898
1.161422,0.48722316865417375,0.020087561164048418
1.161398,0.4889267461669506,0.020087561164048418
1.160506,0.4906303236797274,0.020087561164048418
1.160478,0.49233390119250425,0.020087561164048418
1.160333,0.4940374787052811,0.020087561164048418
1.16004,0.4957410562180579,0.020087561164048418
1.160014,0.4957410562180579,0.020345093999484934
1.160006,0.4957410562180579,0.020602626834921454
1.159814,0.4957410562180579,0.02086015967035797
1.158065,0.49744463373083475,0.02086015967035797
1.157828,0.4991482112436116,0.02086015967035797
1.157067,0.4991482112436116,0.02111769250579449
1.155972,0.4991482112436116,0.021375225341231006
1.154652,0.5008517887563884,0.021375225341231006
1.154597,0.5025553662691652,0.021375225341231006
1.154041,0.5025553662691652,0.021632758176667526
1.153538,0.5025553662691652,0.021890291012104043
1.153417,0.5025553662691652,0.022147823847540563
1.153339,0.5025553662691652,0.02240535668297708
1.153266,0.504258943781942,0.02240535668297708
1.151283,0.5059625212947189,0.02240535668297708
1.151078,0.5076660988074957,0.02240535668297708
1.150961,0.5093696763202725,0.02240535668297708
1.150317,0.5110732538330494,0.02240535668297708
1.150134,0.5110732538330494,0.0226628895184136
1.149291,0.5127768313458262,0.0226628895184136
1.147744,0.514480408858603,0.0226628895184136
1.147403,0.5161839863713799,0.0226628895184136
1.146601,0.5178875638841567,0.0226628895184136
1.146515,0.5195911413969335,0.0226628895184136
1.146329,0.5212947189097104,0.0226628895184136
1.146321,0.5212947189097104,0.022920422353850115
1.145932,0.5212947189097104,0.023177955189286635
1.145662,0.5229982964224872,0.023177955189286635
1.145588,0.524701873935264,0.023177955189286635
1.144647,0.5264054514480409,0.023177955189286635
1.144531,0.5264054514480409,0.02343548802472315
1.144024,0.5264054514480409,0.02369302086015967
1.143828,0.5281090289608177,0.02369302086015967
1.143716,0.5298126064735945,0.02369302086015967
