Jour,ID_Composant,Type_Evenement,Niveau_Usure,Cout_Associe
60,COMP-055,INSPECTION_RAS,9.6,0
60,COMP-056,INSPECTION_RAS,9.56,0
60,COMP-057,INSPECTION_RAS,9.91,0
60,COMP-058,INSPECTION_RAS,9.36,0
60,COMP-059,INSPECTION_RAS,9.83,0
60,COMP-060,INSPECTION_RAS,9.5,0
60,COMP-061,INSPECTION_RAS,9.72,0
60,COMP-062,INSPECTION_RAS,9.52,0
60,COMP-063,INSPECTION_RAS,9.6,0
60,COMP-064,INSPECTION_RAS,9.73,0
60,COMP-065,INSPECTION_RAS,9.42,0
60,COMP-066,INSPECTION_RAS,9.73,0
60,COMP-067,INSPECTION_RAS,7.36,0
60,COMP-068,INSPECTION_RAS,9.8,0
60,COMP-069,INSPECTION_RAS,7.59,0
60,COMP-070,INSPECTION_RAS,9.75,0
60,COMP-071,INSPECTION_RAS,9.66,0
60,COMP-072,INSPECTION_RAS,9.58,0
60,COMP-073,INSPECTION_RAS,9.67,0
60,COMP-074,INSPECTION_RAS,9.58,0
60,COMP-075,INSPECTION_RAS,9.51,0
60,COMP-076,INSPECTION_RAS,9.64,0
60,COMP-077,INSPECTION_RAS,9.43,0
60,COMP-078,INSPECTION_RAS,9.8,0
60,COMP-079,INSPECTION_RAS,9.69,0
60,COMP-080,INSPECTION_RAS,9.65,0
60,COMP-081,INSPECTION_RAS,9.58,0
60,COMP-082,INSPECTION_RAS,9.53,0
60,COMP-083,INSPECTION_RAS,9.71,0
60,COMP-084,INSPECTION_RAS,9.36,0
60,COMP-085,INSPECTION_RAS,9.48,0
60,COMP-086,INSPECTION_RAS,9.33,0
60,COMP-087,INSPECTION_RAS,9.58,0
60,COMP-088,INSPECTION_RAS,9.7,0
60,COMP-089,INSPECTION_RAS,5.48,0
60,COMP-090,INSPECTION_RAS,9.5,0
60,COMP-091,INSPECTION_RAS,9.29,0
60,COMP-092,INSPECTION_RAS,5.77,0
60,COMP-093,INSPECTION_RAS,9.65,0
60,COMP-094,INSPECTION_RAS,3.74,0
60,COMP-095,INSPECTION_RAS,9.32,0
60,COMP-096,INSPECTION_RAS,9.78,0
60,COMP-097,INSPECTION_RAS,9.76,0
60,COMP-098,INSPECTION_RAS,9.46,0
60,COMP-099,INSPECTION_RAS,9.59,0
75,COMP-000,MAINT_PREVENTIVE,12.2,400
75,COMP-001,INSPECTION_RAS,12.0,0
75,COMP-002,MAINT_PREVENTIVE,12.12,400
75,COMP-003,INSPECTION_RAS,11.76,0
75,COMP-004,INSPECTION_RAS,11.52,0
75,COMP-005,MAINT_PREVENTIVE,12.1,400
75,COMP-006,INSPECTION_RAS,6.2,0
75,COMP-007,INSPECTION_RAS,11.87,0
75,COMP-008,INSPECTION_RAS,11.71,0
75,COMP-009,INSPECTION_RAS,11.89,0
75,COMP-010,INSPECTION_RAS,6.26,0
75,COMP-011,INSPECTION_RAS,10.24,0
75,COMP-012,MAINT_PREVENTIVE,12.15,400
75,COMP-013,INSPECTION_RAS,11.81,0
75,COMP-014,INSPECTION_RAS,11.94,0
75,COMP-015,INSPECTION_RAS,11.69,0
75,COMP-016,INSPECTION_RAS,11.84,0
75,COMP-017,MAINT_PREVENTIVE,12.27,400
75,COMP-018,MAINT_PREVENTIVE,12.31,400
75,COMP-019,INSPECTION_RAS,12.19,0
75,COMP-020,INSPECTION_RAS,5.51,0
75,COMP-021,MAINT_PREVENTIVE,12.04,400
75,COMP-022,INSPECTION_RAS,11.77,0
75,COMP-023,INSPECTION_RAS,11.85,0
75,COMP-024,MAINT_PREVENTIVE,12.05,400
75,COMP-025,MAINT_PREVENTIVE,12.0,400
75,COMP-026,INSPECTION_RAS,11.89,0
75,COMP-027,INSPECTION_RAS,8.4,0
75,COMP-028,INSPECTION_RAS,11.9,0
75,COMP-029,INSPECTION_RAS,11.99,0
75,COMP-030,MAINT_PREVENTIVE,12.09,400
75,COMP-031,INSPECTION_RAS,11.87,0
75,COMP-032,MAINT_PREVENTIVE,12.14,400
75,COMP-033,INSPECTION_RAS,3.94,0
75,COMP-034,MAINT_PREVENTIVE,12.24,400
75,COMP-035,INSPECTION_RAS,11.95,0
75,COMP-036,MAINT_PREVENTIVE,12.63,400
75,COMP-037,INSPECTION_RAS,11.82,0
75,COMP-038,MAINT_PREVENTIVE,12.02,400
75,COMP-039,MAINT_PREVENTIVE,12.11,400
75,COMP-040,MAINT_PREVENTIVE,12.13,400
75,COMP-041,INSPECTION_RAS,11.91,0
75,COMP-042,MAINT_PREVENTIVE,12.01,400
75,COMP-043,MAINT_PREVENTIVE,12.08,400
75,COMP-044,MAINT_PREVENTIVE,12.2,400
75,COMP-045,MAINT_PREVENTIVE,12.02,400
75,COMP-046,INSPECTION_RAS,4.25,0
75,COMP-047,INSPECTION_RAS,4.24,0
75,COMP-048,MAINT_PREVENTIVE,12.06,400
75,COMP-049,INSPECTION_RAS,12.15,0
75,COMP-050,MAINT_PREVENTIVE,12.33,400
75,COMP-051,MAINT_PREVENTIVE,12.25,400
75,COMP-052,MAINT_PREVENTIVE,12.15,400
75,COMP-053,INSPECTION_RAS,11.98,0
75,COMP-054,INSPECTION_RAS,11.92,0
75,COMP-055,INSPECTION_RAS,11.9,0
75,COMP-056,INSPECTION_RAS,11.96,0
75,COMP-057,MAINT_PREVENTIVE,12.36,400
75,COMP-058,INSPECTION_RAS,11.76,0
75,COMP-059,MAINT_PREVENTIVE,12.24,400
75,COMP-060,INSPECTION_RAS,11.89,0
75,COMP-061,MAINT_PREVENTIVE,12.06,400
75,COMP-062,INSPECTION_RAS,11.89,0
75,COMP-063,MAINT_PREVENTIVE,12.02,400
75,COMP-064,MAINT_PREVENTIVE,12.16,400
75,COMP-065,INSPECTION_RAS,11.75,0
75,COMP-066,MAINT_PREVENTIVE,12.26,400
75,COMP-067,INSPECTION_RAS,9.76,0
75,COMP-068,MAINT_PREVENTIVE,12.26,400
75,COMP-069,INSPECTION_RAS,9.9,0
75,COMP-070,MAINT_PREVENTIVE,12.26,400
75,COMP-071,MAINT_PREVENTIVE,12.02,400
75,COMP-072,MAINT_PREVENTIVE,12.05,400
75,COMP-073,MAINT_PREVENTIVE,12.12,400
75,COMP-074,INSPECTION_RAS,11.91,0
75,COMP-075,INSPECTION_RAS,11.93,0
75,COMP-076,MAINT_PREVENTIVE,12.01,400
75,COMP-077,INSPECTION_RAS,11.78,0
75,COMP-078,MAINT_PREVENTIVE,12.16,400
75,COMP-079,MAINT_PREVENTIVE,12.01,400
75,COMP-080,MAINT_PREVENTIVE,12.08,400
75,COMP-081,INSPECTION_RAS,11.79,0
75,COMP-082,INSPECTION_RAS,11.85,0
75,COMP-083,MAINT_PREVENTIVE,12.16,400
75,COMP-084,INSPECTION_RAS,11.86,0
75,COMP-085,INSPECTION_RAS,11.77,0
75,COMP-086,INSPECTION_RAS,11.74,0
75,COMP-087,MAINT_PREVENTIVE,12.04,400
75,COMP-088,MAINT_PREVENTIVE,12.1,400
75,COMP-089,INSPECTION_RAS,8.06,0
75,COMP-090,INSPECTION_RAS,11.94,0
75,COMP-091,INSPECTION_RAS,11.64,0
75,COMP-092,INSPECTION_RAS,8.12,0
75,COMP-093,MAINT_PREVENTIVE,12.09,400
75,COMP-094,INSPECTION_RAS,6.3,0
75,COMP-095,INSPECTION_RAS,11.66,0
75,COMP-096,MAINT_PREVENTIVE,12.26,400
75,COMP-097,MAINT_PREVENTIVE,12.29,400
75,COMP-098,MAINT_PREVENTIVE,11.99,400
75,COMP-099,INSPECTION_RAS,12.05,0
90,COMP-000,INSPECTION_RAS,5.01,0
90,COMP-001,MAINT_PREVENTIVE,14.43,400
90,COMP-002,INSPECTION_RAS,4.81,0
90,COMP-003,INSPECTION_RAS,14.13,0
90,COMP-004,MAINT_PREVENTIVE,14.0,400
90,COMP-005,INSPECTION_RAS,4.86,0
90,COMP-006,INSPECTION_RAS,8.6,0
90,COMP-007,MAINT_PREVENTIVE,14.19,400
90,COMP-008,MAINT_PREVENTIVE,14.13,400
90,COMP-009,MAINT_PREVENTIVE,14.38,400
90,COMP-010,INSPECTION_RAS,8.53,0
90,COMP-011,INSPECTION_RAS,12.64,0
90,COMP-012,INSPECTION_RAS,4.88,0
90,COMP-013,MAINT_PREVENTIVE,14.3,400
90,COMP-014,MAINT_PREVENTIVE,14.4,400
90,COMP-015,MAINT_PREVENTIVE,14.04,400
90,COMP-016,MAINT_PREVENTIVE,14.22,400
90,COMP-017,INSPECTION_RAS,4.77,0
90,COMP-018,INSPECTION_RAS,4.85,0
90,COMP-019,MAINT_PREVENTIVE,14.71,400
90,COMP-020,INSPECTION_RAS,7.99,0
90,COMP-021,INSPECTION_RAS,4.66,0
90,COMP-022,MAINT_PREVENTIVE,14.09,400
90,COMP-023,MAINT_PREVENTIVE,14.11,400
90,COMP-024,INSPECTION_RAS,4.75,0
90,COMP-025,INSPECTION_RAS,4.61,0
90,COMP-026,MAINT_PREVENTIVE,14.42,400
90,COMP-027,MAINT_PREVENTIVE,10.62,400
90,COMP-028,MAINT_PREVENTIVE,14.17,400
90,COMP-029,MAINT_PREVENTIVE,14.5,400
90,COMP-030,INSPECTION_RAS,4.84,0
90,COMP-031,MAINT_PREVENTIVE,14.29,400
90,COMP-032,INSPECTION_RAS,4.98,0
90,COMP-033,INSPECTION_RAS,6.38,0
90,COMP-034,INSPECTION_RAS,4.75,0
90,COMP-035,MAINT_PREVENTIVE,14.25,400
90,COMP-036,MAINT_PREVENTIVE,4.73,400
90,COMP-037,MAINT_PREVENTIVE,14.25,400
90,COMP-038,INSPECTION_RAS,4.72,0
90,COMP-039,INSPECTION_RAS,4.86,0
90,COMP-040,INSPECTION_RAS,4.75,0
90,COMP-041,MAINT_PREVENTIVE,14.51,400
90,COMP-042,INSPECTION_RAS,4.69,0
90,COMP-043,INSPECTION_RAS,4.8,0
90,COMP-044,INSPECTION_RAS,4.89,0
